"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Russian","Ключевое заглавие ","уникальное название, присвоенное продолжающемуся ресурсу службой ISSN и неразрывно связанное с его ISSN. Ключевое заглавие может совпадать с основным заглавием; или, для достижения уникальности, оно может быть сконструировано путем добавления идентифицирующих и/или поясняющих элементов, таких как наименование издающей организации, место издания, сведения об издании.",,,,20090805
,"Slovak","Kľúčový názov","jedinečné meno pridelené zdroju na pokračovanie v rámci ISSN Network a neoddeliteľne spojené s jeho číslom ISSN. Kľúčový názov môže byť rovnaký ako hlavný názov, alebo môže byť za účelom dosiahnutia jedinečnosti doplnený o identifikačné prvky a/alebo kvalifikátory, akými sú napr. meno vydavateľa, miesto vydania, údaj o vydaní.",,,,20090805
,"Slovene","Ključni naslov","edinstveni naslov, ki ga kontinuiranemu viru določijo znotraj mreže centrov ISSN in je neločljivo povezan s številko ISSN. Ključni naslov je lahko enak stvarnemu naslovu ali pa mu, zato da se razlikuje od drugih enakih naslovov, dodamo element, ki ga označuje ali opredeljuje, na primer ime izdajatelja, kraj izdaje, vrsto izdaje.",,,,20090813
,"Spanish","Título clave","Título único asignado a un recurso continuado por la Red ISSN y unido inseparablemente al ISSN. El título clave puede coincidir con el título propiamente dicho o, a fin de que sea inequívoco, se puede construir mediante la adición de elementos identificadores y/o calificadores, tales como el nombre de la entidad editora, el lugar de publicación, la mención de edición.",,,,20090805
,"Swedish","Nyckeltitel","Det unika namn ISSN-nätverket tilldelat en seriell resurs, fast länkat till dess ISSN. Nyckeltiteln kan vara densamma som huvudtiteln eller, för att göra den unik, kan olika identifierande och/eller kvalificerande element läggas till, t.ex. utgivarens namn, publikationsort, upplageuppgift.",,,,20090813
,"Thai","ชื่อเรื่องหลัก","ชื่อเฉพาะที่กำหนดให้กับทรัพยากรต่อเนื่องด้วยเครือข่าย ISSN และเชื่อมโยงอย่างไม่ สามารถแยกออกจาก ISSN ได้ ชื่อเรื่องหลักอาจเป็นชื่อเดียวกับชื่อเรื่องที่เหมาะสม หรือ เพื่อให้เกิดความเป็นหนึ่งเดียว สามารถสร้างชื่อเรื่องหลักจากการเพิ่มองค์ประกอบที่ระบุและ/หรือองค์ประกอบ ที่เหมาะสม เช่น ชื่อหน่วยงานเผยแพร่ สถานที่ตีพิมพ์ ถ้อยคำแสดงครั้งที่ผลิต เป็นต้น",,,,20090805
,"Vietnamese","Nhan đề chính","Tên duy nhất được nêu ra trong nguồn lực tiếp tục bởi mạng lưới ISSN và liên kết một cách chắc chắn với ISSN của nó. Nhân đề chính có thể giống với tên thường gọi, hoặc để nhằm đạt đươc tính thống nhất, nó có thể được xây dựng bằng cách bổ sung các nhân tố xác định và hoặc nhân tố điều kiện, ví dụ như tên của cơ quan phát hành, nơi xuất bản, lần xuất bản.",,,,20090813
,,,,,,,
,"English","Manifestation","The physical embodiment of an expression of a work.",,,"FRAD, FRBR",20090805
,"Albanian","Manifestim","Materializimi fizik i shprehjes së një vepre. ",,,,20090811
,"Arabic","المظهر","التجسيد المادي لتعبير العمل.
المظهر يمكن أن يشمل مجموعة من الأعمال، أو عمل واحد، أو جزء من عمل، المظاهر يمكن أن تظهر في شكل وحدة مادية واحدة أو أكثر.
",,,,20090805
,"Bulgarian","Форма на физическо представяне","Физическо въплъщение на формата на проявление на произведение.",,,,20100810
,"Catalan","Manifestació","Materialització física de l’expressió d’una obra.",,,,20100809
,"Chinese","载体表现","一部作品的内容表达的物理体现。
载体表现可以体现为作品集、个别作品或者作品的组成部分。载体表现可以以一个或多个物理单位的形式出现。
",,,"FRAD, FRBR; IME ICC",20090805
,"Croatian","Pojavni oblik","Fizičko postvarenje izraza djela.",,,,20090812
,"Czech","Provedení","fyzická prezentace vyjádření díla.",,,,20090812
,"Finnish","Manifestaatio","Teoksen ekspression fyysinen ilmentymä.",,,,20100810
,"French","Manifestation","Matérialisation d'une expression d'une œuvre.",,,,20090805
,"German","Manifestation","Die physische Verkörperung einer Expression eines Werkes.",,,,20090812
,"Italian","Manifestazione","Materializzazione fisica di un’espressione di un’opera.",,,,20090812
,"Japanese","体現形","著作の表現形の物理的な具体化。　　",,,,20090805
,"Korean","구현형","저작의 표현형을 물리적으로 구현한 것",,,,20090805
,"Latvian","Manifestācija","darba izteiksmes fiziskais iemiesojums.",,,,20090813
,"Lithuanian","Apraiška","fizinis kūrinio išraiškos įkūnijimas.",,,,20100809
,"Polish","Materializacja","fizyczne urzeczywistnienie realizacji dzieła.",,,,20100810
,"Portuguese","Manifestação","Concretização física de uma expressão de uma obra.",,,,20090812
,"Russian","Воплощение ","физическая реализация ыражения произведения.",,,,20090805
,"Slovak","Prezentácia","fyzická prezentácia vyjadrenia diela.",,,,20090805
,"Slovene","Pojavna oblika","utelešenje izrazne oblike dela.",,,,20090813
,"Spanish","Manifestación","La materialización física de la expresión de una obra.",,,,20090805
,"Swedish","Manifestation","Den fysiska gestaltningen av ett uttryck för ett verk.",,,,20090813
,"Thai","รูปแบบการเผยแพร่","ผลประกอบทางกายภาพของรูปแบบการนำเสนองาน",,,,20090805
,"Vietnamese","Sự biểu thị","Là sự thể hiện vật lý của một biểu ngữ của tác phẩm.",,,,20090813
,,,,,,,
,"English","Name","A character, word, or group of words and/or characters by which an entity is known.  Includes the words/characters designating a person, family, corporate body; includes the terms by which concepts, objects, events, or places are known; includes the title given to a work, expression, manifestation, or item. Used as the basis for an access point.  ",,"Access point [RT], Authorized form of name [NT], Controlled access point [RT], Conventional name [[NT], Preferred name [NT], Variant form of name [NT","FRBR as modified in FRAD",20090805
,"Albanian","Emër","Karakter, fjalë ose grup fjalësh dhe/ose karakteresh me anë të të cilave njihet një entitet. Përfshin fjalët/karakteret që emërtojnë një person, familje, organizëm; termat me anë të të cilave njihen konceptet, objektet, ngjarjet, vendet; titullin që i është dhënë një vepre, shprehjeje, manifestimi ose njësie. Përdoret si bazë për një pikë hyrëse.",,"Emër konvencional [NT], Emër i preferuar [NT], Formë e autorizuar e emrit [NT], Pikë hyrëse [RT], Pikë hyrëse e kontrolluar [RT], Variant i formës së emrit [NT]","FRBR modifikuar në FRAD",20090811
,"Arabic","اسم","حرف أو مجموعة من الكلمات و/أو الأحرف والتي يعرف بها كيان؛ تحتوي على الكلمات/الأحرف الدالة على شخص، عائلة، هيئة؛ المصطلحات التي تعرف بها المفاهيم، الأشياء، الأحداث، أو الأماكن؛ وأيضا تستخدم كأساس لنقطة وصول.",,"نقطة الوصول [RT]، الشكل المقنن للاسم [NT]، نقطة الوصول المضبوطة [RT]، الاسم الشائع أو الاصطلاحي [NT]، الاسم المفضل [NT]، الشكل المختلف للاسم [NT]",,20090805
,"Bulgarian","Име (наименование)","Буква, дума или група от думи и/или букви, под които е известен обектът. Включва думи/букви, които означават лице, фамилия, колективен орган. Включва термини, под които са известни понятия, предмети, събития или места. Включва заглавието, определено за произведение, форма на проявление, форма на физическо представяне или физическа единица. Използва се като основа за точка за достъп.",,"Точка за достъп [А], Установена форма на име (наименование) [НТ], Контролирана точка за достъп [А], Общоприето име (наименование) [НТ], Предпочетено име (наименование) [НТ], Вариантна форма на име (наименование) [НТ]","FRBR с измененията във FRAD",20100810
,"Catalan","Nom","Caràcter, paraula o grup de paraules i/o de caràcters pels quals es coneix una entitat. Inclou les paraules/caràcters que designen una persona, família, entitat corporativa; inclou els termes pels quals es coneixen conceptes, objectes, esdeveniments o llocs; inclou el títol assignat a una obra, a una expressió, a una manifestació o a un ítem. S’utilitza com a base d’un punt d’accés.",,"Forma autoritzada del nom [TE], Forma variant del nom [TE], Nom convencional [TE], Nom preferit [TE], Punt d’accés [TR], Punt d’accés controlat [TR]","FRBR modificat a FRAD",20100809
,"Chinese","名称","用以认识一个实体的一个字符、一个词语，或一组词语和/或字符。包括表示个人、家族、团体的词语/字符；包括用以认识概念、实物、事件或地点的术语；包括为一种作品、内容表达、载体表现或单件所确定的题名。作为检索点的基础。",,"检索点[RT]，名称的规范形式 [NT]，受控检索点 [RT]，惯用名称 [NT]，首选名称 [RT]），名称的变异形式 [NT]",,20090805
,"Croatian","Ime","Znak, riječ ili skup riječi i/ili znakova po kojima je entitet poznat. Uključuje riječi/znakove koji označuju osobu, obitelj, korporativno tijelo; uključuje nazive po kojima su pojmovi, objekti, događaji ili mjesta poznati; uključuje naslov djela, izraza, pojavnog oblika ili jedinice građe. Upotrebljava se kao osnova za pristupnicu.",,"Izabrano ime [UP], Nadzirana pristupnica [SP], Neusvojeni oblik imena [UP], Pristupnica [SP], Uobičajeno ime [UP], Usvojeni oblik imena [UP]","FRBR nadopunjen u FRAD-u",20090812
,"Czech","Jméno","znak, slovo či skupina slov a/nebo znaků, pod kterými je entita známa. Zahrnuje slova/znaky označující osobu, rodinu, korporaci; dále zahrnuje termíny pod kterým jsou známy koncepty, objekty, události či místa; zahrnuje i název daný dílu, vyjádření, provedení, či jednotce. Používá se jako základ selekčního údaje.",,"Selekční údaj [RT], Autorizovaná forma jména [NT], Řízený selekční údaj [RT], Konvenční jméno [[NT], Preferované jméno [NT], Variantní forma jména [NT","FRBR jak je modifikován ve FRAD",20090812
,"Finnish","Nimi","Merkki, sana tai sana- ja/tai merkkiryhmä, jolla entiteetti tunnetaan. Se sisältää sanat/merkit, joiden avulla henkilö perhe/suku, yhteisö nimetään; se sisältää termit, joiden avulla käsitteet, kohteet, tapahtumat tai paikat tunnetaan; se sisältää teoksen, ekspression, manifestaation tai kappaleen nimen. Nimi on hakutiedon perusta.",,"Hakutieto [RT], Auktorisoitu nimimuoto [ST], Kontrolloitu hakutieto [RT], Vakiintunut nimi [ST], Nimen varianttimuoto [ST]",,20100810
,"French","Nom","Caractère, mot ou groupe de mots ou de caractères par lequel une entité est connue ; comprend les mots/caractères désignant une personne, une famille, une collectivité ; comprend les termes par lesquels les concepts, les objets, les événements ou les lieux sont connus ; comprend le titre donné à une œuvre, une expression, une manifestation, ou un item. Sert de base pour établir un point d'accès.",,"Forme autorisée d'un nom [TS], Nom conventionnel [TS], Nom privilégié [TS], Point d'accès [TA], Point d'accès contrôlé [TA], Variante de forme d'un nom [TS]",,20090805
,"German","Name","Ein Buchstabe, ein Wort oder eine Gruppe von Wörtern und/oder Buchstaben, unter dem/denen eine Entität bekannt ist. Dies schließt die Wörter/Buchstaben mit ein, die eine Person, Familie oder Körperschaft bezeichnen, die Terme, unter denen Begriffe, Gegenstände, Ereignisse oder Orte bekannt sind ebenso wie die Titel, die einem Werk, einer Expression, einer Manifestation oder einem Exemplar gegeben wurden. Wird als Grundlage für einen Sucheinstieg benutzt.",,"Abweichende Form des Namens [UB], Ansetzungsform des Namens [UB], Normierter Sucheinstieg [VB], Gebräuchlicher Name [UB], Sucheinstieg [VB]","FRBR, modifiziert wie in FRAD",20090812
,"Italian","Nome","Carattere, parola o gruppo di parole e/o caratteri con cui un’entità è conosciuta. Comprende le parole/caratteri che designano una persona, una famiglia, un ente; include i termini con cui concetti, oggetti, eventi o luoghi sono conosciuti; include il titolo dato a un’opera, espressione, manifestazione o esemplare. Usato come base per un punto di accesso.",,"Punto di accesso [RT] Forma autorizzata del nome [NT], Punto di accesso controllato [RT], Nome convenzionale [NT], Nome preferito [NT], Forma variante del nome [NT]","FRBR modificato da FRAD",20090812
,"Japanese","名称","それによって実体が知られている文字、あるいは語および／または文字の集まり。個人、家族、団体を指示する語／文字列を含む。概念、物、出来事または場所がそれによって知られる用語を含む。著作、表現形、体現形、または個別資料に付与されたタイトルを含む。アクセスポイントの基礎として使用される。　　",,"アクセスポイント［RT］、慣用名［NT］、異なる名称の形［NT］、統制形アクセスポイント［RT］、名称の典拠形［NT］、優先される名称［NT］　","FRADで修正されたFRBR",20090805
,"Korean","이름","개체를 식별하기 위한 문자나 단어 혹은 일단의 단어나 문자의 집합. 개인이나 가족, 단체를 지칭하는 단어/문자를 포함한다. 개념, 대상, 사건, 장소를 식별하기 위한 용어를 포함한다. 저작이나 표현형, 구현형, 개별자료에 부여된 표제를 포함한다. 접근점의 기초로 사용된다.",,"접근점 (Access point) [RT], 전거형 이름 (Authorized form of name) [NT], 제어형 접근점 (Controlled access point) [RT], 채택된 이름 (Preferred name) [NT], 이형의 이름 (Variant form of name) [NT]도 보라","FRAD에서 수정된 FRBR",20090805
,"Latvian","Personvārds/nosaukums","rakstzīme, vārds vai vārdu un/vai rakstzīmju grupa, pēc kuras entītija ir pazīstama. Termins ietver vārdus/rakstzīmes, kas apzīmē personu, dzimtu, institūciju; tas ietver jēdzienu, objektu, notikumu vai vietu apzīmējumus, kā arī darbam, izteiksmei, manifestācijai vai vienībai piešķirto nosaukumu. Personvārds/nosaukums ir piekļuves punkta pamatā.",,"Piekļuves punkts [ST], Personvārda/nosaukuma autorizētā forma [ŠT], Kontrolētais piekļuves punkts [ST], Vispārpieņemtais personvārds/nosaukums [ŠT], Prioritārais personvārds/nosaukums [ŠT], Atšķirīgais personvārds/nosaukums [ŠT]","FRBR (kā modificēts FRAD)",20090813
,"Lithuanian","Vardas","simbolis, žodis ar žodžių ir (arba) simbolių grupė, pagal kurią atpažįstamas entitetas. Apima žodžius/simbolius, reiškiančius asmenį, giminę, kolektyvą; apima terminus,
reiškiančius sąvokas, objektus, įvykius ar vietas; apima kūrinio, išraiškos, apraiškos ar vieneto antraštę. Vartojamas kaip kreipties elemento pagrindas.",,"Aprobuota vardo forma [ST], 
Kontroliuojamas kreipties elementas [SJT],
Kreipties elementas [SJT], Prioritetinis vardas [ST], Sutartinis vardas [ST],
Vardo formos variantas [ST]","FRBR, pakeitimas FRAD",20100809
,"Polish","Nazwa","znak, słowo lub grupa słów i/lub znaków nadana jednostce. Obejmuje:
- słowa/znaki oznaczające osobę, rodzinę, ciało zbiorowe;
- terminy stanowiące nazwy pojęć, obiektów, wydarzeń czy miejsc;
- tytuł nadany dziełu, realizacji, materializacji lub egzemplarzowi.
Stanowi podstawę punktu dostępu.",,"Punkt dostępu [TZ], Ujednolicona forma nazwy [TW], Kontrolowany punkt
dostępu [TZ], Nazwa zwyczajowa [TW], Nazwa przyjęta [TW], Wariant formy
nazwy [TW]",,20100810
,"Portuguese","Nome","Caracter, palavra ou grupo de palavras e/ou caracteres pelos quais uma entidade é conhecida; inclui as palavras/caracteres que designam uma pessoa, família, colectividade (entidade); inclui os termos pelos quais são conhecidos conceitos, objetos, eventos ou lugares, assim como o título de uma dada obra, expressão, manifestação ou item. Usado como base para um ponto de acesso.",,"Forma autorizada de nome [TE], Nome preferido [TE], Ponto de acesso [TR], Ponto de acesso autorizado [TR], Ponto de acesso controlado [TR], Ponto de acesso para forma variante [TE]","FRBR, com as alterações de FRAD",20090812
,"Russian","Имя (наименование) ","буква, знак или группа слов и/или букв, с помощью которых распознается объект. Включает слова или буквы, обозначающие лицо, род, организацию; термины, обозначающие концепции, предметы, события или места, а также заглавие произведения, выражения, воплощения или физической единицы.  Служит основой для точки доступа.",,"Авторитетная форма имени [БУТ], Вариантная форма имени [БУТ], Контролируемая точка доступа [CТ], 
Общепринятое имя (наименование) [БУТ], Предпочтительное имя (наименование) [СТ]","FRBR  с модификацией  FRAD",20090805
,"Slovak","Meno","znak, slovo alebo skupina slov a/alebo znakov, pod ktorými je entita známa. Zahŕňa slová/znaky označujúce osobu, rodinu, korporáciu; ďalej zahŕňa termíny pod ktorými sú známe koncepty, objekty, udalosti alebo miesta; zahŕňa i názov daný dielu, vyjadreniu, prezentácii alebo jednotke. Používa sa ako základ selekčného údaja.",,"Selekčný údaj [RT], Autorizovaná forma mena [NT], Riadený selekčný údaj [RT], Konvenčné meno [[NT], Preferované meno [NT], Variantná forma mena [NT]","FRBR ako je modifikovaný vo FRAD",20090805
,"Slovene","Ime","črka, beseda ali več besed in/ali črk, po katerih je entiteta poznana. Vključuje besede/črke, ki označujejo osebo, rodbino, korporacijo; vključuje izraze, ki poimenujejo pojme, predmete, dogodke ali kraje; vključuje naslov, s katerim je poimenovano delo, izrazna oblika, pojavna oblika ali enota. Uporablja se kot osnova vstopne točke.",,"Izbrano ime (OP), Kontrolirana vstopna točka (SP), Konvencionalno ime (OP), Normativna oblika imena (OP), Variantna oblika imena (OP), Vstopna točka (SP)","definicija FRBR, priredba FRAD",20090813
,"Spanish","Nombre","Un carácter, palabra o grupo de palabras y/o caracteres por el que se conoce a una entidad. Incluye las palabras o caracteres que designan a una persona, familia, entidad corporativa; incluye los términos por los que son conocidos los conceptos, objetos, acontecimientos o lugares; así como el título dado a una obra, expresión, manifestación o ejemplar. Utilizado como base para un punto de acceso",,"Forma variante del nombre [TE],  Forma autorizada del nombre [TE], Nombre convencional [TE], Nombre preferido [TE], Punto de acceso [TR], Punto de acceso controlado [TR]","FRBR modificado en FRAD",20090805
,"Swedish","Namn","Ett tecken, ord eller grupp av ord under vilka entiteten är känd. Innefattar de ord/tecken som betecknar en person, familj, institution; innefattar de termer under vilka koncept, objekt, händelser och platser är kända; innefattar titlar på verk, uttryck, manifestationer och exemplar. Används som utgångspunkt för sökingången.",,"Auktoriserad namnform [UT], Föredraget namn [RT], Kontrollerad sökingång [RT], Konventionellt namn [UT], Sökingång [RT], Variantform av namn [UT]","FRBR, som det modifierats i FRAD",20090813
,"Thai","ชื่อ","ตัวอักษร คำ กลุ่มคำและ/หรือกลุ่มตัวอักษรที่ทำให้เอนทิตีเป็นที่รู้จัก ประกอบไปด้วยคำ/ตัวอักษรที่
บ่งชี้ บุคคล ครอบครัว นิติบุคคล; คำที่ทำให้แนวคิด สิ่งของ เหตุการณ์หรือสถานที่เป็นรู้จัก; เช่นเดียวกันกับชื่อเรื่องที่กำหนดให้กับงาน รูปแบบการนำเสนอ รูปแบบการเผยแพร่ หรือหน่วยรายการ ใช้เป็นหลักสำหรับจุดเข้าถึง
",,"จุดเข้าถึง [RT], รูปแบบชื่อที่กำหนดให้ใช้ได้ [NT], จุดเข้าถึงควบคุม [RT], ชื่อที่เป็นที่นิยม [NT], ชื่อที่ให้ความสำคัญ [NT], รูปแบบชื่ออื่น ๆ [NT]","FRBR ดังที่ได้รับการปรับปรุงใน FRAD",20090805
,"Vietnamese","Tên","Một ký tự, một chữ, hay nhóm chữ/ký tự mà nhờ đó một thực thể được biết đến. Bao gồm từ/ksy tự chỉ tên cá nhân, gia đình, đoàn thể, bao gồm cả thuật ngữ chỉ khái niệm, vật thể, sự kiện hay địa điểm; bao gồm cả nhan đề của tác phẩm, biểu ngữ, cách biểu thị và ấn phẩm. Tất cả đều được sử dụng như những điểm truy cập.",,"Điểm truy cập [Thuật ngữ liên quan], Dạng được phép của tên [Thuật ngữ hẹp], Điểm truy cập kiểm soát [Thuật ngữ liên quan], Tên thông thường [Thuật ngữ hẹp], Tên ưu tiên [Thuật ngữ hẹp], Dang biến thể của tên [Thuật ngữ hẹp]","FRBR chỉnh sửa bởi FRAD",20090813
,,,,,,,
,"English","Normalized access point",,"Authorized access point",,,20090805
,"Albanian","Pikë hyrëse e standardizuar",,"Pikë hyrëse e autorizuar",,,20090812
,"Arabic","نقطة الوصول المطبعة",,,"الوصول المطبعة",,20090805
,"Bulgarian","Нормализирана точка за достъп",,"Установена точка за достъп",,,20100810
,"Catalan","Punt d’accés normalitzat",,"Punt d’accés autoritzat",,,20100809
,"Chinese","标准化检索点",,"规范检索点",,,20090805
,"Croatian","Normalizirana pristupnica",,"Usvojena pristupnica",,,20090812
,"Czech","Normalizovaný selekční údaj",,"Autorizovaný selekční údaj",,,20090812
,"Finnish","Normalisoitu hakutieto",,"Auktorisoitu hakutieto",,,20100810
,"French","Point d'accès normalisé",,"Point d'accès autorisé",,,20090805
,"German","Normalisierter Sucheinstieg",,"Ansetzungsform des Sucheinstiegs",,,20090812
,"Italian","Punto di accesso normalizzato",,"Punto di accesso autorizzato",,,20090812
,"Japanese","統一形アクセスポイント",,"典拠形アクセスポイント　",,,20090805
,"Korean","정규화된 접근점",,"전거형 접근점 (Authorized access point)",,,20090805
,"Lithuanian","Sunormintas kreipties elementas",,"Aprobuotas kreipties elementas",,,20100809
,"Polish","Znormalizowany punkt dostępu",,"Ujednolicony punkt
dostępu",,,20100810
,"Portuguese","Ponto de acesso normalizado",,"Ponto de acesso autorizado",,,20090812
,"Russian","Нормализованная точка доступа",,"Авторитетная точка доступа",,,20090805
,"Slovak","Normalizovaný selekčný údaj",,"Autorizovaný selekčný údaj",,,20090805
,"Slovene","Normirana vstopna točka",,"Normativna vstopna točka",,,20090813
,"Spanish","Punto de acceso normalizado",,"Punto de acceso autorizado",,,20090805
,"Swedish","Normaliserad sökingång",,"Auktoriserad sökingång",,,20090813
,"Thai","จุดเข้าถึงที่กำหนดให้เป็นบรรทัดฐาน",,"จุดเข้าถึงที่กำหนดให้ใช้ได้",,,20090805
,"Vietnamese","Điểm truy cập được bình thường hóa",,"Điểm truy cập được phép",,,20090813
,,,,,,,
,"Latvian","Nosaukums",,"Personvārds/nosaukums",,,20090813
,,,,,,,
,"English","Object","A material thing.  ",,,"FRBR",20090805
,"Albanian","Objekt","Send material.",,,,20090811
,"Arabic","الجسم","شيء مادي",,,,20090805
,"Bulgarian","Предмет","Нещо материално.",,,,20100810
,"Catalan","Objecte","Realitat material.",,,,20100809
,"Chinese","实物","一种物质的事物。",,,"FRBR",20090805
,"Croatian","Objekt","Materijalna stvar.",,,,20090812
,"Czech","Objekt","materiální věc.",,,,20090812
,"Finnish","Esine","Aineellinen luetteloinnin kohde.",,,,20100810
,"French","Objet","Réalité matérielle.",,,,20090805
,"German","Gegenstand","Ein materielles Objekt.",,,,20090812
,"Italian","Oggetto","Una cosa materiale.",,,,20090812
,"Japanese","物","物体。　　",,,,20090805
,"Korean","대상","사물",,,,20090805
,"Latvian","Objekts","materiāla lieta.",,,,20090813
,"Lithuanian","Objektas","materialus daiktas.",,,,20100809
,"Polish","Obiekt","rzecz materialna.",,,,20100810
,"Portuguese","Objeto","Coisa material.",,,,20090812
,"Russian","Предмет","нечто материальное.",,,,20090805
,"Slovak","Objekt","materiálna vec.",,,,20090805
,"Slovene","Predmet","stvar.",,,,20090813
,"Spanish","Objeto","Una cosa material.",,,,20090805
,"Swedish","Objekt","Ett materiellt ting, ett föremål.",,,,20090813
,"Thai","สิ่งของ","สิ่งของทางวัตถุ",,,,20090805
,"Vietnamese","Vật thể","Là vật mang tính chất vật lý.",,,,20090813
,,,,,,,
,"English","Person","An individual or a single identity established or adopted by an individual or group. ",,,"FRBR as modified in FRAD, modified by IME ICC",20090805
,"Albanian","Person","Identitet individual ose unik i vendosur ose përshtatur nga një individ ose grup.",,,"FRBR modifikuar në FRAD, modifikuar nga IME ICC",20090811
,"Arabic","الشخص","فرد أو هوية فردية منشئة أو متبناة من قبل فرد أو مجموعة.",,,,20090805
,"Bulgarian","Лице","Индивид или отделна идентичност, установени или възприети от индивид или група.",,,"FRBR в съответствие с измененията във FRAD, с изменения от IME ICC",20100810
,"Catalan","Persona","Individu o identitat única establerta o adoptada per un individu o un grup.",,,"FRBR modificat a FRAD, modificat per IME ICC",20100809
,"Chinese","个人","一个个体的人，或由一个个体的人或群体所设立或采纳的单一识别身份。",,,"FRBR，经FRAD修改，经IME ICC修改",20090805
,"Croatian","Osoba","Pojedinac ili pojedinačni identitet koji je uspostavio ili prisvojio pojedinac ili skupina.",,,"FRBR nadopunjen u FRAD-u, preradio IME ICC",20090812
,"Czech","Osoba","individuální či jako individuální se prezentující entita ustanovená nebo přijatá jednotlivcem či skupinou.",,,"FRBR jak je modifikovaný ve FRAD, modifikováno IME ICC",20090812
,"Finnish","Henkilö","Yksilö tai yksilön tai ryhmän vakiintunut tai omaksuttu identiteetti.",,,,20100810
,"French","Personne","Individu ou identité particulière établie ou adoptée par un individu ou un groupe.",,,"FRBR modifiée par FRAD, modifiée par IME ICC",20090805
,"German","Person","Ein Individuum oder eine Identität, die von einem Individuum oder einer Gruppe eingeführt oder angenommen wird.",,,"FRBR modifiziert in FRAD, modifiziert durch IME ICC",20090812
,"Italian","Persona","Individuo o identità singola stabilita o adottata da un individuo o gruppo.",,,"FRBR modificato in FRAD, modificato da IME ICC",20090812
,"Japanese","個人","ひとりの人、またはひとりの人もしくは集団により設定もしくは採用された単一のアイデンティティ。　　",,,"FRADで修正後、IME ICCで修正されたFRBR",20090805
,"Korean","개인","개인 또는 개인이나 집단이 선정하거나 채용한 하나의 신원",,,"FRAD에서 수정된 FRBR, IME ICC에서 수정",20090805
,"Latvian","Persona","indivīds vai atsevišķa identitāte, ko izveidojis vai pieņēmis kāds indivīds vai grupa.",,,"FRBR (kā modificēts FRAD), modificēts IME ICC",20090813
,"Lithuanian","Asmuo","individas arba vienintelė tapatybė, nusistatyta ar priimta individo arba grupės.",,,"FRBR, pakeista FRAD, pakeitimas IME ICC",20100809
,"Polish","Osoba","jednostka ludzka lub pojedyncza tożsamość ustanowiona lub przejęta przez jednostkę lub grupę.",,,"FRBR w modyfikacji FRAD, poprawione
przez IME ICC",20100810
,"Portuguese","Pessoa","Indivíduo ou uma identidade individual estabelecida ou adotada por um indivíduo ou grupo.",,,"FRBR, com as alterações de FRAD, modificada por IME ICC",20090812
,"Russian","Лицо","индивидуум или единичная идентификация, установленная или принятая индивидуумом или группой.",,,"FRAD, модификация FRBR, модифицировано IME ICC",20090805
,"Slovak","Osoba","individuálna alebo ako individuálne sa prezentujúca entita ustanovená alebo prijatá jednotlivcom alebo skupinou.",,,"FRBR ako je modifikované vo FRAD, modifikované IME ICC",20090805
,"Slovene","Oseba","posameznik ali posamezna identiteta, ki pripada posamezniku ali skupini ali jo privzameta.",,,"FRBR, prirejen v FRAD, priredba IME ICC",20090813
,"Spanish","Persona","Un individuo o una única identidad establecida o adoptada por un individuo o grupo.",,,"FRBR modificado en FRAD, modificado por IME ICC",20090805
,"Swedish","Person","En individ eller en identitet som skapats eller använts av en individ eller grupp.",,,"FRBR, som det modifierats i FRAD, därefter modifierat av IME ICC",20090813
,"Thai","บุคคล","ปัจเจกบุคคลหรือเอกลักษณ์หนึ่งที่สร้างขึ้นและรับมาโดยปัจเจกบุคคลหรือกลุ่ม",,,"FRBR ดังที่ได้รับการปรับปรุงใน FRAD โดย IME ICC",20090805
,"Vietnamese","Cá nhân","Một cá nhân riêng biệt hay một đặc điểm đơn lẻ được tạo nên hay được thừa nhận bởi một cá nhân hay một nhóm.",,,"FRBR chỉnh sửa trong FRAD, bởi IME ICC",20090813
,,,,,,,
,"English","Place","A location.  ",,,"FRBR",20090805
,"Albanian","Vend","Vendndodhje.",,,,20090812
,"Arabic","المكان","موضع.",,,,20090805
,"Bulgarian","Място","Местонахождение.",,,,20100810
,"Catalan","Lloc","Localització.",,,,20100809
,"Chinese","地点","一处场所。",,,"FRBR",20090805
,"Croatian","Mjesto","Lokalitet.",,,,20090812
,"Czech","Místo","lokace.",,,,20090812
,"Finnish","Paikka","Sijainti, paikka.",,,,20100810
,"French","Lieu","Coordonnées topographiques (endroit). ",,,,20090805
,"German","Ort","Eine Ortsangabe.",,,,20090812
,"Italian","Luogo","Località.",,,,20090812
,"Japanese","場所","所在地。　　",,,,20090805
,"Korean","장소","위치",,,,20090805
,"Latvian","Vieta","atrašanās vieta.",,,,20090813
,"Lithuanian","Vieta","buvimo vieta.",,,,20100809
,"Polish","Miejsce","lokalizacja.",,,,20100810
,"Portuguese","Lugar","Localização, espaço.",,,,20090812
,"Russian","Место","местонахождение.",,,,20090805
,"Slovak","Miesto","lokácia.",,,,20090805
,"Slovene","Kraj","lokacija.",,,,20090813
,"Spanish","Lugar","Una localización.",,,,20090805
,"Swedish","Plats","En plats.",,,,20090813
,"Thai","สถานที่","ตำแหน่งที่ตั้ง",,,,20090805
,"Vietnamese","Địa điểm","Một vị trí địa lí.",,,,20090813
,,,,,,,
